n_agents,ba_degree,er_prob,p_rewiring,uncertainty,n_experiments,rewiring_type,mean_degree,density,avg_clustering,avg_short_path_lenght,degree_variance,network_type,true_consensus,convergence_step,agent_type
97,5,0.10384924491520264,0.4717410197517026,0.0009924673295432418,91,randomize,18.24742268041237,0.09503865979381443,0.1118119351820916,2.27502147766323,381.87628865979383,ba,0.5360824742268041,52,beta
126,9,0.08740736780531011,0.2346520815792622,0.0008967477467708452,55,randomize,32.74603174603175,0.13098412698412698,0.17826917076261017,1.9786666666666666,1282.031746031746,ba,0.8253968253968254,41,beta
116,7,0.12411488738124474,0.7929715750049292,0.0008211199811620371,27,randomize,25.689655172413794,0.11169415292353824,0.10930259174968938,2.1017241379310345,687.7413793103449,ba,0.8448275862068966,73,beta
17,9,0.2397460453358266,0.00255627115516055,0.0003134027626390168,14,randomize,16.941176470588236,0.5294117647058824,0.6942727207433089,1.4705882352941178,341.6470588235294,ba,0.47058823529411764,29,beta
125,7,0.009844040560526568,0.21957239291070874,0.00045302518682715023,76,randomize,25.936,0.10458064516129033,0.16633644399903266,2.122451612903226,862.256,ba,0.296,49,beta
185,4,0.2362526391821503,0.8873778549874672,0.00035754990256747044,77,randomize,15.6,0.042391304347826085,0.0455157881777844,2.758578143360752,259.9027027027027,ba,0.5459459459459459,69,beta
115,9,0.11843281295440367,0.17529402228571334,0.0005740471538449831,21,randomize,32.4,0.14210526315789473,0.19950926855515871,1.95675057208238,1276.8695652173913,ba,0.4608695652173913,66,beta
60,8,0.15601538273904297,0.7398435545239959,0.0006403898612562967,19,randomize,26.366666666666667,0.22344632768361583,0.22415147520246417,1.8175141242937853,724.0666666666667,ba,0.5,74,beta
13,5,0.10649305809512932,0.6735990623684556,0.0005949221307206141,36,randomize,11.692307692307692,0.48717948717948717,0.4944112428237638,1.5192307692307692,142.30769230769232,ba,0.0,4,beta
69,6,0.02369755716766017,0.662440883113903,0.0006770575435679194,56,randomize,21.043478260869566,0.1547314578005115,0.1593549001858523,2.0236572890025575,467.4492753623188,ba,0.782608695652174,28,beta
126,9,0.23401326264687536,0.8952808350802847,0.0006092890276728212,79,randomize,32.904761904761905,0.1316190476190476,0.133701125276737,1.9688253968253968,1112.7460317460318,ba,0.7142857142857143,32,beta
116,4,0.0345213975014782,0.38251489542974704,0.000938453334522783,97,randomize,15.224137931034482,0.06619190404797601,0.0960319172957093,2.51904047976012,289.3965517241379,ba,0.5689655172413793,34,beta
52,5,0.08695706162764597,0.8693312069762117,0.0004163547075854253,89,randomize,17.76923076923077,0.17420814479638008,0.1862644189777445,2.0128205128205128,335.0,ba,0.6153846153846154,40,beta
