n_agents,p_rewiring,uncertainty,n_experiments,rewiring_type,mean_degree,avg_clustering,degree_variance,density,avg_short_path_lenght,true_consensus,convergence_step,agent_type
3519,0.5457416336031825,0.0071846526107287,1886,randomize,4.346121057118499,0.014229606901438,65.54077863029269,0.0006176977056734,0,0.7479397556123899,31,beta
3519,0.8330727370323351,0.022253169088028473,7641,randomize,4.345552713839159,0.0016110441313018434,29.383915885194657,0.0006176169291982886,0,0.914180164819551,13,beta
3519,0.4633199935226592,0.007826152961871793,5538,randomize,4.344984370559819,0.01696875201684105,83.33674339300937,0.0006175361527231123,0,0.7527706734867861,15,beta
3519,0.35363641776590493,0.022825073029929942,2538,randomize,4.345552713839159,0.040286666539514245,106.37567490764421,0.0006176169291982886,0,0.7306052855924978,21,beta
3519,0.4504480416455615,0.009405702842058931,1518,randomize,4.345552713839159,0.019217611511518278,84.86274509803921,0.0006176169291982886,0,0.6945154873543621,25,beta
3519,0.7396751591980776,0.01584335976045047,3289,randomize,4.346121057118499,0.003301625684981742,40.00056834327934,0.0006176977056734649,0,0.8752486501847115,20,beta
3519,0.793750383783716,0.02251865999457645,1678,randomize,4.345552713839159,0.0013707823394173636,31.774936061381073,0.0006176169291982886,0,0.8982665529980108,25,beta
3519,0.15725575151395332,0.002629196217817072,4148,randomize,4.346121057118499,0.0919714982526191,170.24666098323388,0.0006176977056734649,0,0.3438476840011367,19,beta
3519,0.04079566392597056,0.0033053910788157746,1457,randomize,4.346121057118499,0.15320723748752357,214.75987496447854,0.0006176977056734649,0,0.24751349815288434,31,beta
3519,0.9296538108361926,0.01555941498297812,3041,randomize,4.346689400397841,0.0005897740445907539,24.116510372264848,0.0006177784821486414,0,0.9227053140096618,19,beta
3519,0.003206212870912384,0.0019369626576355775,9205,randomize,4.346689400397841,0.17857591541151915,227.0036942313157,0.0006177784821486414,0,0.2841716396703609,17,beta
3519,0.18152818680715888,0.008312341875610314,7135,randomize,4.346689400397841,0.0858010889925867,159.3231031543052,0.0006177784821486414,0,0.625177607274794,15,beta
3519,0.2517549120677218,0.021014034939113187,3159,randomize,4.346121057118499,0.05851206519549758,137.09633418584826,0.0006176977056734649,0,0.6786018755328218,23,beta
3519,0.5913087155838201,0.019273344861291657,1538,randomize,4.346689400397841,0.009896930043555798,55.593634555271386,0.0006177784821486414,0,0.8300653594771242,27,beta
3519,0.42625504316896856,0.006197629393018844,5162,randomize,4.346121057118499,0.021690426370144168,93.85166240409207,0.0006176977056734649,0,0.6743393009377664,17,beta
3519,0.6479209936657081,0.019505810865010725,2611,randomize,4.345552713839159,0.0063675769874394095,49.37880079568059,0.0006176169291982886,0,0.8599033816425121,19,beta
3519,0.40459367901711873,0.00635107034636912,9760,randomize,4.344984370559819,0.030169863058316877,96.1409491332765,0.0006175361527231123,0,0.7084398976982097,13,beta
3519,0.8646840071143527,0.01855623548639937,6419,randomize,4.346689400397841,0.0011116891886190103,27.425404944586532,0.0006177784821486414,0,0.9175902244955954,14,beta
3519,0.6120437816036933,0.02486224720495629,5117,randomize,4.346689400397841,0.009124282905629515,53.631145211707874,0.0006177784821486414,0,0.8411480534242682,16,beta
3519,0.67098274789669,0.019858160077152295,4098,randomize,4.346121057118499,0.004816736341372781,47.30264279624893,0.0006176977056734649,0,0.8695652173913043,16,beta
3519,0.1478624881395576,0.020606971859552202,6784,randomize,4.346689400397841,0.09337111695295164,173.7306052855925,0.0006177784821486414,0,0.6203466894003978,14,beta
3519,0.814540097549998,0.022116327147115568,9399,randomize,4.346689400397841,0.001454556962628209,31.028701335606705,0.0006177784821486414,0,0.9056550156294402,12,beta
3519,0.26486938786799274,0.0077646061370511155,7895,randomize,4.345552713839159,0.05594924487300432,130.11139528275078,0.0006176169291982886,0,0.658994032395567,15,beta
3519,0.7400206331960891,0.016284732417518977,238,randomize,4.346689400397841,0.0025724721419168144,35.908496732026144,0.0006177784821486414,0,0.8155726058539358,62,beta
3519,0.02603774318053853,0.021221550500980933,6323,randomize,4.346689400397841,0.16069535778719113,215.8726911054277,0.0006177784821486414,0,0.5555555555555556,16,beta
3519,0.5938546665880633,0.015503392765467753,4388,randomize,4.346689400397841,0.0074404631893939515,57.2003410059676,0.0006177784821486414,0,0.8400113668655869,16,beta
3519,0.699224223014838,0.0017842963033325354,1113,randomize,4.346689400397841,0.0044508967247030564,42.03182722364308,0.0006177784821486414,0,0.6663824950269963,144,beta
3519,0.5733069762402594,0.001963339405714727,9238,randomize,4.345552713839159,0.00934729708339259,58.050014208581985,0.0006176169291982886,0,0.6643932935493038,23,beta
3519,0.12339104569280834,0.009372559065379354,3187,randomize,4.346689400397841,0.10137721309758577,175.90963341858483,0.0006177784821486414,0,0.5387894288150042,22,beta
3519,0.41237986914411306,0.008180310420265444,8121,randomize,4.345552713839159,0.022828668952073417,93.68229610684854,0.0006176169291982886,0,0.748792270531401,13,beta
3519,0.3388885287607356,0.01670564453731948,4545,randomize,4.345552713839159,0.03694068439593948,110.34555271383915,0.0006176169291982886,0,0.7442455242966752,17,beta
3519,0.6984046353185854,0.017020693951686233,5631,randomize,4.346121057118499,0.00467082113671124,41.52259164535379,0.0006176977056734649,0,0.8917306052855924,16,beta
3519,0.8035940446917355,0.0016561866662753218,1151,randomize,4.346121057118499,0.0019067896798979544,30.908780903665814,0.0006176977056734649,0,0.7127024722932651,159,beta
3519,0.7957339376100254,0.011372026943019836,5766,randomize,4.346689400397841,0.0018748549088170498,31.736857061665244,0.0006177784821486414,0,0.8914464336459221,15,beta
