n_agents,ba_degree,er_prob,p_rewiring,uncertainty,n_experiments,rewiring_type,mean_degree,density,avg_clustering,avg_short_path_lenght,degree_variance,network_type,true_consensus,convergence_step,agent_type
107,10,0.0133093745117547,0.6072805018350255,0.0008888205985026,88,randomize,34.76635514018692,0.1639922412272967,0.1757871210491332,1.8870569564450717,1277.2897196261683,ba,1.0,2664,bayes
192,6,0.0061592970805091,0.4296813339234445,0.0001949328456834,74,randomize,22.916666666666668,0.0599912739965096,0.0857372082362625,2.3926428883071558,662.3854166666666,ba,0.7083333333333334,10000,bayes
90,9,0.1657093247138775,0.0532238582571338,0.0008601005914675,61,randomize,32.08888888888889,0.180274656679151,0.2385775120684584,1.8801498127340823,1233.3777777777775,ba,0.9777777777777776,2020,bayes
111,6,0.10246449806246,0.1200439931038096,0.000734919369068,65,randomize,22.414414414414413,0.1018837018837018,0.1764720495079507,2.175184275184275,665.3873873873874,ba,1.0,6807,bayes
39,7,0.0964740651099979,0.937438004477304,0.0002612538646756,20,randomize,22.512820512820515,0.296221322537112,0.2953887538643238,1.7199730094466936,522.1538461538462,ba,0.8461538461538461,10000,bayes
29,9,0.240209528991688,0.0631505795214152,0.0006760459052084,74,randomize,24.27586206896552,0.4334975369458128,0.5545620947184019,1.5665024630541873,671.5862068965517,ba,0.9655172413793104,3306,bayes
70,10,0.1339916650384303,0.3935630753280932,0.0004130372042298,32,randomize,32.02857142857143,0.2320910973084886,0.2650670302093648,1.786335403726708,1123.0,ba,0.8714285714285714,10000,bayes
103,9,0.1566570518652442,0.5795057902502275,0.0008190717787885,55,randomize,31.689320388349515,0.1553398058252427,0.173277118414309,1.9252807919284216,1084.6990291262136,ba,1.0,3093,bayes
100,4,0.0152502732940591,0.8962793665132469,0.0004584306923941,86,randomize,15.24,0.0769696969696969,0.0770870663613122,2.4696969696969697,245.16,ba,0.98,10000,bayes
38,6,0.1816471921336045,0.3545032030962266,0.0006866978938952,70,randomize,18.894736842105264,0.2553342816500711,0.2818297533098651,1.822190611664296,393.5263157894737,ba,0.9473684210526316,4131,bayes
167,7,0.0134480892625817,0.3420472334008584,0.0008223869698316,91,randomize,26.335329341317365,0.0793232811485462,0.1155483992577118,2.2333525719645047,859.7125748502993,ba,0.9880239520958084,2855,bayes
30,3,0.1526103952824917,0.178036559081262,0.0007167494061498,58,randomize,10.6,0.1827586206896551,0.3039396171234034,2.1114942528735634,142.13333333333333,ba,1.0,6240,bayes
14,3,0.0083607516437103,0.0552003394274546,0.0003976437227624,17,randomize,9.142857142857142,0.3516483516483517,0.4156893177785098,1.7087912087912087,98.71428571428572,ba,0.5,6,bayes
156,10,0.075679970056606,0.3810669746488583,0.0002576713490561,17,randomize,36.34615384615385,0.1172456575682382,0.1478956684456094,1.9977667493796527,1526.2435897435898,ba,0.7051282051282052,10000,bayes
116,2,0.1567597660910269,0.2268580079754338,0.0002150485376167,56,randomize,7.827586206896552,0.0340329835082458,0.0624082461081868,0.0,96.06896551724138,ba,0.5603448275862069,10000,bayes
168,8,0.1649067037150215,0.1339387909483546,0.0005992013306013,57,randomize,30.11904761904762,0.0901767892785856,0.1533769575789522,2.1443541488451667,1201.4880952380952,ba,0.9940476190476192,5959,bayes
169,2,0.1609683466833713,0.9153481491096932,0.0009940736576891,17,randomize,7.905325443786983,0.023527754296985,0.0234880413961513,0.0,70.9585798816568,ba,0.757396449704142,10000,bayes
189,6,0.0279899509003078,0.2009659051274746,0.0004298495568491,66,randomize,23.058201058201057,0.0613250028143645,0.1098029054126043,2.3655859506923336,727.1216931216932,ba,0.9312169312169312,10000,bayes
68,4,0.0516063396045576,0.9108783976383218,0.0008620143104686,45,randomize,14.852941176470589,0.1108428446005267,0.1193832602393928,2.2877524143985952,232.3823529411765,ba,1.0,7239,bayes
48,2,0.1186369437667443,0.3925790416400915,0.0008667488862444,37,randomize,7.5,0.0797872340425532,0.0894498861473708,2.9406028368794326,70.70833333333333,ba,0.8541666666666666,10000,bayes
182,2,0.1243514097886154,0.6241518382827885,0.0006301142099915,61,randomize,7.901098901098901,0.0218262400582842,0.0255491318323899,0.0,80.20879120879121,ba,0.8626373626373627,10000,bayes
119,9,0.0949234938210029,0.8625352573171183,0.0002317039638497,64,randomize,32.705882352941174,0.1385842472582253,0.1413293573608273,1.956843754450933,1109.9495798319329,ba,0.8067226890756303,10000,bayes
143,10,0.1425993183508435,0.0427096540850104,0.0006858969444507,40,randomize,37.00699300699301,0.1303063134049049,0.2097073978905948,1.9640007879444497,1789.6503496503497,ba,1.0,7826,bayes
70,7,0.1503923280880325,0.8719814407513339,0.0006038393540694,73,randomize,24.88571428571429,0.1803312629399586,0.1818743479823447,1.9165631469979296,642.9428571428572,ba,0.9857142857142858,3863,bayes
98,9,0.1587576531085939,0.5150712276387355,0.0007482374012459,94,randomize,31.163265306122447,0.1606353881758889,0.1811936802554097,1.9169997896065645,1070.9183673469388,ba,1.0,2872,bayes
152,8,0.0341640413955239,0.2897267424842855,0.0002845529376335,92,randomize,29.73684210526316,0.0984663645869641,0.1333782228009579,2.1138462879051936,1082.5263157894738,ba,0.9473684210526316,10000,bayes
142,7,0.1380396622208932,0.3733483221689704,0.0005637139076412,32,randomize,26.028169014084508,0.0922984716811507,0.1194786705283133,2.1795524922585154,808.5633802816901,ba,0.9788732394366196,10000,bayes
