n_agents,degree,p_rewiring,uncertainty,n_experiments,rewiring_type,true_consensus,true_consensus_alternative_stop,choice_consensus,convergence_step,agent_type
3,1,0.6283596929516344,0.0030491632736536507,417,hierarchical,0.0,0.0,0.0,5,bayes
3,2,0.47025602092163954,0.0070971516332023225,880,hierarchical,1.0,1.0,1.0,14,bayes
14,4,0.5593549995980498,0.0018065599400963334,19,hierarchical,0.21428571428571427,False,0.21428571428571427,200,bayes
4,3,0.8946855101870786,0.0037808122233791023,327,hierarchical,0.0,0.0,0.0,5,bayes
3,2,0.9185288796485542,0.007443608117880832,707,hierarchical,1.0,1.0,1.0,11,bayes
11,10,0.502063041299172,0.009708389074365376,966,hierarchical,1.0,1.0,1.0,3,bayes
10,3,0.3480629749057427,0.008198031198121573,94,hierarchical,1.0,1.0,1.0,50,bayes
10,8,0.5430064986243639,0.0015449074580821825,157,hierarchical,0.2,False,0.2,200,bayes
11,5,0.23403228216171312,0.0016136653487765881,249,hierarchical,1.0,False,1.0,200,bayes
5,3,0.018431594852708844,0.001822575168431447,707,hierarchical,0.0,0.0,0.0,33,bayes
6,1,0.5200592426038879,0.0035448530842843006,64,hierarchical,0.16666666666666666,0.16666666666666666,0.16666666666666666,34,bayes
15,14,0.6784056135588868,0.004551992516498297,613,hierarchical,1.0,1.0,1.0,13,bayes
4,3,0.5316945603217638,0.0015846455243079412,883,hierarchical,0.0,0.0,0.0,125,bayes
15,7,0.36851641896516385,0.006274696354982431,12,hierarchical,1.0,False,1.0,200,bayes
7,5,0.190547779355575,0.008810386474871522,847,hierarchical,1.0,1.0,1.0,12,bayes
13,9,0.4054460946593511,0.0056965347039813815,468,hierarchical,0.0,0.0,0.0,7,bayes
15,11,0.9075458344668755,0.005343287795203857,673,hierarchical,1.0,1.0,1.0,12,bayes
4,2,0.9601480713693811,0.009318976830492962,919,hierarchical,1.0,1.0,1.0,12,bayes
6,5,0.24159833931114272,0.001428043640741074,351,hierarchical,1.0,1.0,1.0,159,bayes
3,2,0.14390565376743314,0.0071808809569722885,860,hierarchical,1.0,1.0,1.0,11,bayes
6,2,0.6878255402446203,0.005962414572429543,384,hierarchical,0.3333333333333333,0.3333333333333333,0.3333333333333333,25,bayes
4,2,0.9844195937583504,0.008233453348244258,211,hierarchical,1.0,1.0,1.0,51,bayes
7,3,0.13887498015745636,0.004220553754946689,471,hierarchical,1.0,1.0,1.0,66,bayes
13,4,0.43991683418955096,0.00284750874222367,812,hierarchical,1.0,1.0,1.0,53,bayes
10,4,0.27238686679090063,0.005934893888785309,460,hierarchical,1.0,1.0,1.0,25,bayes
4,2,0.27997016051152734,0.0017690019620649634,711,hierarchical,1.0,1.0,1.0,200,bayes
3,1,0.2633403336381882,0.002187456724880635,914,hierarchical,1.0,1.0,1.0,91,bayes
8,2,0.2715140107163151,0.0037215431273985083,136,hierarchical,1.0,False,1.0,200,bayes
11,10,0.3744690970796166,0.006076840082342529,168,hierarchical,1.0,1.0,1.0,29,bayes
3,2,0.6263481378181776,0.0035080300806576356,904,hierarchical,1.0,1.0,1.0,27,bayes
13,2,0.37520909507500344,0.005738909660298522,853,hierarchical,1.0,1.0,1.0,37,bayes
8,2,0.6469603258732894,0.0012479178776088277,185,hierarchical,0.5,False,0.5,200,bayes
3,1,0.32059997242188465,0.007899467236565365,990,hierarchical,1.0,1.0,1.0,12,bayes
11,1,0.6819392090581278,0.00447195492789194,193,hierarchical,0.18181818181818182,0.18181818181818182,0.18181818181818182,131,bayes
12,2,0.588399084217421,0.005539382068335104,253,hierarchical,1.0,1.0,1.0,102,bayes
8,6,0.5460479356872457,0.0015775865259874972,879,hierarchical,1.0,1.0,1.0,129,bayes
10,5,0.9940710311964444,0.007224140471101786,19,hierarchical,0.2,False,0.2,200,bayes
12,10,0.10537970662618223,0.005910938072907966,969,hierarchical,1.0,1.0,1.0,10,bayes
12,11,0.48995998974954635,0.009874932699864995,725,hierarchical,1.0,1.0,1.0,5,bayes
12,11,0.7290021767798759,0.006378297982253625,261,hierarchical,1.0,1.0,1.0,29,bayes
14,3,0.179008271690984,0.009901455026544975,430,hierarchical,1.0,1.0,1.0,16,bayes
10,1,0.2844672325793838,0.0031666513167729494,452,hierarchical,0.1,0.1,0.1,53,bayes
14,3,0.048481309218349256,0.002510244756812629,25,hierarchical,0.21428571428571427,False,0.21428571428571427,200,bayes
11,6,0.9707292530413583,0.003669162028232001,77,hierarchical,1.0,False,1.0,200,bayes
15,13,0.3065468149401309,0.0017558879774649567,434,hierarchical,1.0,1.0,1.0,83,bayes
11,4,0.8176900696110859,0.004573784026532274,443,hierarchical,1.0,1.0,1.0,27,bayes
6,4,0.376831471417295,0.0021555143435117424,359,hierarchical,1.0,1.0,1.0,178,bayes
15,11,0.7968103835506458,0.008156731435463926,252,hierarchical,1.0,1.0,1.0,17,bayes
3,1,0.9773443312271053,0.003527608180893517,179,hierarchical,0.3333333333333333,False,0.3333333333333333,200,bayes
3,1,0.18536560205001673,0.004218662732920245,342,hierarchical,0.3333333333333333,0.3333333333333333,0.3333333333333333,30,bayes
4,2,0.3642329894776095,0.005391897367576897,749,hierarchical,1.0,1.0,1.0,24,bayes
4,2,0.6642132629464228,0.0054016281370801245,371,hierarchical,1.0,1.0,1.0,45,bayes
14,7,0.12468660753526961,0.005782111840122242,268,hierarchical,1.0,1.0,1.0,53,bayes
6,3,0.6716203110471004,0.004344642980756886,87,hierarchical,1.0,1.0,1.0,174,bayes
10,1,0.4037953276853279,0.009933314621311869,488,hierarchical,1.0,1.0,1.0,42,bayes
7,1,0.10531908355664943,0.009390225607832668,653,hierarchical,1.0,1.0,1.0,19,bayes
3,1,0.6969946969663506,0.0028593716455308387,860,hierarchical,1.0,1.0,1.0,68,bayes
10,7,0.6300664948656365,0.003529525406295806,811,hierarchical,1.0,1.0,1.0,42,bayes
13,8,0.9907918486160954,0.008189423881637382,204,hierarchical,1.0,1.0,1.0,19,bayes
4,2,0.8873996121765052,0.009646632678627469,50,hierarchical,1.0,1.0,1.0,139,bayes
15,11,0.4296331986735794,0.006565821090001207,128,hierarchical,1.0,1.0,1.0,33,bayes
13,11,0.02340517530697883,0.00979725309796722,332,hierarchical,1.0,1.0,1.0,13,bayes
5,1,0.8674464142317674,0.009038710950113459,536,hierarchical,1.0,1.0,1.0,23,bayes
11,5,0.12116450704471271,0.001837820901304774,82,hierarchical,0.2727272727272727,False,0.2727272727272727,200,bayes
13,5,0.17760744555640895,0.008093107248135575,546,hierarchical,1.0,1.0,1.0,11,bayes
9,7,0.1438199637045383,0.005004570068570267,384,hierarchical,1.0,1.0,1.0,26,bayes
9,1,0.06704458218881859,0.004956621685305147,841,hierarchical,1.0,1.0,1.0,51,bayes
13,9,0.2548584000057166,0.0052762769301121,708,hierarchical,1.0,1.0,1.0,9,bayes
3,1,0.5018466369408935,0.001580287102257263,238,hierarchical,0.3333333333333333,0.3333333333333333,0.3333333333333333,124,bayes
12,2,0.40330449579497607,0.006684009985381287,42,hierarchical,0.75,False,0.6666666666666666,200,bayes
6,1,0.6556959824625757,0.003074436064831782,783,hierarchical,1.0,1.0,1.0,162,bayes
