n_agents,p_rewiring,uncertainty,n_experiments,rewiring_type,mean_degree,true_consensus,true_consensus_alternative_stop,choice_consensus,convergence_step,agent_type
218,0.9879476071920532,0.0034025434395555,836,hierarchical,4.346689400397841,0.2040352372833191,False,0.2040352372833191,200,beta
362,0.1873050744421148,0.002733691047547,321,randomize,4.346121057118499,0.2091503267973856,False,0.2091503267973856,200,beta
436,0.7339558117733362,0.0096501640248553,556,hierarchical,4.346689400397841,0.3009377664109122,False,0.3009377664109122,200,beta
499,0.0075413643876587,0.009790838907276,948,randomize,4.346689400397841,0.3569195794259733,False,0.3569195794259733,200,beta
103,0.07609067999450358,0.006272599275568055,858,hierarchical,4.346689400397841,0.28388746803069054,False,0.28388746803069054,200,beta
497,0.06683294111670812,0.004640331189813199,765,hierarchical,4.346689400397841,0.2216538789428815,False,0.2216538789428815,200,beta
314,0.14543494694198633,0.003481355645426615,679,hierarchical,4.346689400397841,0.18726911054276782,False,0.18726911054276782,200,beta
406,0.7815906689052657,0.007771456014626973,821,hierarchical,4.346689400397841,0.3182722364308042,False,0.3182722364308042,200,beta
494,0.9601314126439059,0.004944054964154809,687,hierarchical,4.346689400397841,0.22847399829497017,False,0.22847399829497017,200,beta
267,0.7376784424049958,0.003677150451102506,460,hierarchical,4.346689400397841,0.16624040920716113,False,0.16624040920716113,200,beta
76,0.5832094978732402,0.009042848148371672,108,hierarchical,4.346689400397841,0.17931230463199774,False,0.17931230463199774,200,beta
47,0.2745422015893325,0.007662558401886287,764,hierarchical,4.346689400397841,0.2958226768968457,False,0.2958226768968457,200,beta
461,0.3777980685934671,0.0030014023020347174,278,hierarchical,4.346689400397841,0.13867576015913613,False,0.13867576015913613,200,beta
354,0.1088328970298712,0.002126027015855808,60,hierarchical,4.346689400397841,0.07445296959363455,False,0.07388462631429384,200,beta
428,0.44045102541977,0.00708272977969281,309,hierarchical,4.346689400397841,0.21682296106848536,False,0.21682296106848536,200,beta
163,0.7829876154622681,0.003916787654508137,294,hierarchical,4.346689400397841,0.15004262574595056,False,0.15004262574595056,200,beta
43,0.4349258664871988,0.00432437114034629,677,hierarchical,4.346689400397841,0.1969309462915601,False,0.1969309462915601,200,beta
212,0.849129440820974,0.008777584800612684,240,hierarchical,4.346689400397841,0.2244955953395851,False,0.2244955953395851,200,beta
141,0.48524380077031004,0.0012583706322709576,241,hierarchical,4.346689400397841,0.08326229042341575,False,0.08269394714407502,200,beta
262,0.6150247401747776,0.001505881638176696,608,hierarchical,4.346689400397841,0.11565785734583689,False,0.11651037226484796,200,beta
494,0.009907432572941688,0.004726506320515689,352,hierarchical,4.346689400397841,0.17561807331628304,False,0.17561807331628304,200,beta
324,0.631708788328193,0.006405271860997249,173,hierarchical,4.346689400397841,0.17135549872122763,False,0.17163967036089797,200,beta
163,0.22216134094693007,0.007109670516164128,643,hierarchical,4.346689400397841,0.26115373685706167,False,0.26115373685706167,200,beta
197,0.46357811674249816,0.008478171613302539,245,hierarchical,4.346689400397841,0.22932651321398123,False,0.22932651321398123,200,beta
490,0.12502269201035876,0.004214167077913012,573,hierarchical,4.346689400397841,0.19067917021881217,False,0.19067917021881217,200,beta
415,0.8202008128876481,0.0024381296859498965,398,hierarchical,4.346689400397841,0.12475134981528843,False,0.12418300653594772,200,beta
389,0.5419723654720089,0.006158869818302403,427,hierarchical,4.346689400397841,0.2253481102585962,False,0.2253481102585962,200,beta
69,0.44388885923079346,0.009833212881658063,882,hierarchical,4.346689400397841,0.35720375106564367,False,0.35720375106564367,200,beta
143,0.31149487520152785,0.002536363324512134,66,hierarchical,4.346689400397841,0.08752486501847116,False,0.08752486501847116,200,beta
243,0.7675684669497843,0.0017484255875496392,625,hierarchical,4.346689400397841,0.12048877522023302,False,0.12048877522023302,200,beta
491,0.5586267536767826,0.0029747605971734074,501,hierarchical,4.346689400397841,0.15942028985507245,False,0.15942028985507245,200,beta
308,0.32674267386215883,0.00932385255348989,774,hierarchical,4.346689400397841,0.3293549303779483,False,0.3293549303779483,200,beta
11,0.5712383050167682,0.006425530529098406,994,hierarchical,4.346689400397841,0.2861608411480534,False,0.2861608411480534,200,beta
348,0.20776607579390516,0.001448871039232625,578,hierarchical,4.346689400397841,0.10883773799374823,False,0.1082693947144075,200,beta
17,0.9178730505607015,0.006408798291450575,789,hierarchical,4.346689400397841,0.2742256322818983,False,0.2742256322818983,200,beta
399,0.8970420204915467,0.005608156400294492,744,hierarchical,4.346689400397841,0.23216822961068487,False,0.23216822961068487,200,beta
318,0.08763901833342347,0.0043488951792518184,686,hierarchical,4.346689400397841,0.21426541631145213,False,0.21426541631145213,200,beta
331,0.48301547396653854,0.0012499722346696871,549,hierarchical,4.346689400397841,0.10258596192100028,False,0.10258596192100028,200,beta
472,0.12131531151234132,0.0021096350840710096,921,hierarchical,4.346689400397841,0.1534526854219949,False,0.1534526854219949,200,beta
71,0.028654712459616705,0.00730488387674595,235,hierarchical,4.346689400397841,0.2034668940039784,False,0.2034668940039784,200,beta
469,0.34983380135038666,0.004208044746140145,971,hierarchical,4.346689400397841,0.2273373117362887,False,0.2273373117362887,200,beta
188,0.8745667640807592,0.003921530759622078,265,hierarchical,4.346689400397841,0.1642512077294686,False,0.1642512077294686,200,beta
264,0.9601977714792123,0.0043219425158665305,776,hierarchical,4.346689400397841,0.21454958795112247,False,0.21454958795112247,200,beta
152,0.5341234067477717,0.006139189432275572,42,hierarchical,4.346689400397841,0.10372264847968173,False,0.10343847684001137,200,beta
18,0.7737509794382261,0.0027896829907469592,324,hierarchical,4.346689400397841,0.12844558113100313,False,0.1287297527706735,200,beta
116,0.0590575862777194,0.002982559436158977,542,hierarchical,4.346689400397841,0.16908212560386474,False,0.16908212560386474,200,beta
406,0.6217199430573039,0.009384891153915512,428,hierarchical,4.346689400397841,0.27450980392156865,False,0.27450980392156865,200,beta
197,0.7279456171428635,0.0011047304136528866,79,hierarchical,4.346689400397841,0.05541346973572037,False,0.05484512645637965,200,beta
37,0.5180956922359266,0.007586093859834787,910,hierarchical,4.346689400397841,0.3069053708439898,False,0.3069053708439898,200,beta
131,0.40701597559895575,0.00789280656900051,803,hierarchical,4.346689400397841,0.3103154305200341,False,0.3103154305200341,200,beta
156,0.2867681367987521,0.005093943625072141,533,hierarchical,4.346689400397841,0.21597044614947428,False,0.21597044614947428,200,beta
287,0.4521911691592668,0.006767234674295187,723,hierarchical,4.346689400397841,0.27166808752486504,False,0.27166808752486504,200,beta
232,0.07592992572791257,0.002206174315645674,416,hierarchical,4.346689400397841,0.12560386473429952,False,0.1250355214549588,200,beta
368,0.5850874850198807,0.00431439417815424,619,hierarchical,4.346689400397841,0.21057118499573743,False,0.21057118499573743,200,beta
137,0.49513721511107567,0.0026115946518025287,442,hierarchical,4.346689400397841,0.13583404376243252,False,0.13583404376243252,200,beta
421,0.9972145158273302,0.004748249741042453,35,hierarchical,4.346689400397841,0.09860755896561524,False,0.09860755896561524,200,beta
111,0.04283880848618982,0.006638626398376571,996,hierarchical,4.346689400397841,0.30321113952827505,False,0.30321113952827505,200,beta
299,0.9827562604461121,0.0015307049435715537,911,hierarchical,4.346689400397841,0.13697073032111395,False,0.13697073032111395,200,beta
104,0.012844800228728137,0.004642332173082374,731,hierarchical,4.346689400397841,0.21824381926683717,False,0.21824381926683717,200,beta
206,0.1789003526927846,0.009420763673001053,920,hierarchical,4.346689400397841,0.3481102585961921,False,0.3481102585961921,200,beta
