n_agents,p_rewiring,uncertainty,n_experiments,rewiring_type,mean_degree,true_consensus,convergence_step,agent_type
133403,0.7297117953563943,0.0176788742748384,9749,randomize,11.76957039946628,0.9938756999467778,5,bayes
133403,0.5993028006350228,0.0032506618670945,322,randomize,11.769540415133092,0.9824891494194284,1068,bayes
133403,0.1614099646883077,0.0208073632533861,8556,randomize,11.769585391632871,0.8076954791121639,8,bayes
133403,0.4612037321699079,0.0227685993358517,4393,randomize,11.769495438633314,0.9693560114839996,7,bayes
133403,0.1191832564582364,0.0037542245236118,2758,randomize,11.769600383799466,0.6778033477508002,130,bayes
133403,0.7055126196751246,0.0121677587616307,1624,randomize,11.769465454300128,0.9928637287017532,20,bayes
133403,0.7884308367734675,0.0125522056485491,3978,randomize,11.769540415133092,0.9955773108550782,8,bayes
133403,0.6426337713215526,0.0032700389609811,5833,randomize,11.769540415133092,0.9879987706423394,58,bayes
133403,0.8770163354602906,0.0050120019417217,8199,randomize,11.769540415133092,0.9973089060965644,16,bayes
133403,0.4484011567459757,0.0160936903937011,8380,randomize,11.7695254229665,0.9677668418251464,6,bayes
133403,0.464800939882282,0.0047864689536184,9508,randomize,11.7695254229665,0.9680142125739302,23,bayes
133403,0.826630863736759,0.0166323305393075,4271,randomize,11.769510430799906,0.9966042742666956,6,bayes
133403,0.0877489133362294,0.0099883876426331,2448,randomize,11.769600383799466,0.677376071002901,25,bayes
133403,0.7639735193418641,0.0046897273254519,2912,randomize,11.7695254229665,0.9943629453610487,66,bayes
133403,0.0246553631139234,0.0184343912784037,5361,randomize,11.769645360299243,0.6166877806346184,6,bayes
133403,0.8967254352083951,0.0041893933218448,7269,randomize,11.769585391632871,0.99748881209568,30,bayes
133403,0.247208939556369,0.0019551989674747,4486,randomize,11.76957039946628,0.8437891201847035,318,bayes
133403,0.2337243132659563,0.0074756684703503,3588,randomize,11.76957039946628,0.8573720231179209,28,bayes
133403,0.76907914510333,0.0112346097247448,9922,randomize,11.769510430799906,0.995135041940586,6,bayes
133403,0.8020768404611598,0.0229753802755798,2340,randomize,11.769615375966058,0.9960645562693492,6,bayes
133403,0.4304510318685213,0.0184323218106439,2923,randomize,11.769495438633314,0.9636439960120836,8,bayes
133403,0.5502940758117241,0.0164176163467634,2197,randomize,11.769540415133092,0.9818819666724136,11,bayes
133403,0.3659545033912496,0.0078013392522608,7034,randomize,11.769495438633314,0.9426249784487604,17,bayes
133403,0.0798899035978442,0.0166534802841217,6201,randomize,11.769615375966058,0.7012211119689962,7,bayes
133403,0.5963000588471479,0.0197135268232283,8772,randomize,11.769495438633314,0.9867319325652346,6,bayes
133403,0.9891776992880216,0.0059703814090253,9792,randomize,11.769645360299243,0.9984483107576292,13,bayes
133403,0.7182731555087716,0.0214532720522288,7929,randomize,11.769600383799466,0.994145558945451,5,bayes
133403,0.4014505323613021,0.0033658958835989,175,randomize,11.769540415133092,0.9379249342218692,2093,bayes
133403,0.2035631380798764,0.0191537526717325,7423,randomize,11.76957039946628,0.8491563158249814,8,bayes
133403,0.7706423667915986,0.0130786265416636,558,randomize,11.769600383799466,0.99431796886127,34,bayes
133403,0.9350093331327428,0.0070107485979644,4768,randomize,11.76963036813265,0.9978936005936898,18,bayes
133403,0.8114620980722353,0.0182681860769918,8514,randomize,11.769585391632871,0.9965817860168062,5,bayes
133403,0.4252535437570296,0.0035102762366411,6047,randomize,11.76948044646672,0.9535317796451356,73,bayes
133403,0.4073412809691055,0.0214748676505193,3913,randomize,11.769450462133536,0.9580968943726904,7,bayes
133403,0.6810799551819532,0.0206636964260844,146,randomize,11.769450462133536,0.9905399428798451,56,bayes
133403,0.5448348960870509,0.0037634937014756,1124,randomize,11.769585391632871,0.9762898885332414,251,bayes
133403,0.0075930722042661,0.0153988339303816,3085,randomize,11.769645360299243,0.5837349984633029,8,bayes
133403,0.6094807196424035,0.0148255491620024,1595,randomize,11.769585391632871,0.9874365643951036,16,bayes
133403,0.6501010492584812,0.0186712237785028,7815,randomize,11.769555407299686,0.9910346843774128,6,bayes
133403,0.1825997918170258,0.0185159684708443,9094,randomize,11.769615375966058,0.8298988778363305,7,bayes
133403,0.4611769598901621,0.0237629480540755,3357,randomize,11.769420477800349,0.9692135859013664,7,bayes
133403,0.5493169041500895,0.0056910938693867,7991,randomize,11.769585391632871,0.980757554177942,17,bayes
133403,0.6086727287590578,0.0038847401428144,8934,randomize,11.769540415133092,0.9860497889852552,35,bayes
133403,0.5415295440749837,0.0149070659440129,643,randomize,11.769540415133092,0.9791009197694204,30,bayes
133403,0.7568305849637567,0.0122958816579358,2744,randomize,11.76957039946628,0.9943779375276418,11,bayes
133403,0.5207314514222482,0.0142103084942364,2157,randomize,11.769555407299686,0.9781264289408784,17,bayes
133403,0.0080973085575691,0.0119378943447063,2308,randomize,11.769645360299243,0.5654295630533046,18,bayes
133403,0.9151143358029672,0.0019298749122395,3383,randomize,11.769585391632871,0.9973688747629365,284,bayes
133403,0.4371276780267067,0.0126583515417759,1537,randomize,11.769555407299686,0.960825468692608,24,bayes
133403,0.0716154084463199,0.0158274635425268,9070,randomize,11.76963036813265,0.6882678800326829,8,bayes
133403,0.5459897671133458,0.0243294633340019,7158,randomize,11.769510430799906,0.9820094000884538,6,bayes
133403,0.5630312164068781,0.0056274495895326,8012,randomize,11.769540415133092,0.9829988830835888,21,bayes
133403,0.1408237937673669,0.0149980391296449,6465,randomize,11.769555407299686,0.7813017698252663,9,bayes
133403,0.9314939105257132,0.0047573745560157,2326,randomize,11.769585391632871,0.9977736632609462,64,bayes
133403,0.4954902256601358,0.0107411158707749,1720,randomize,11.769540415133092,0.9729616275496054,22,bayes
133403,0.5617127728493532,0.0015247078421463,6722,randomize,11.769495438633314,0.9794907161008372,252,bayes
133403,0.8022966900448443,0.0110926591677306,9843,randomize,11.76957039946628,0.9961245249357212,7,bayes
133403,0.1690486011366214,0.0158809567779274,3825,randomize,11.769585391632871,0.8112561186779907,9,bayes
133403,0.5372251281267655,0.0158531551686559,7589,randomize,11.769585391632871,0.9810349092599115,7,bayes
133403,0.964679571138743,0.0176811713467371,2983,randomize,11.769615375966058,0.9984033342578504,8,bayes
133403,0.6940549176271849,0.0235132922509372,8599,randomize,11.769585391632871,0.9927138070358238,5,bayes
133403,0.6768455870756405,0.0051175170613771,8268,randomize,11.769555407299686,0.9912070942932318,27,bayes
133403,0.7408464474386766,0.0084873034404111,4444,randomize,11.769585391632871,0.9940780941957827,14,bayes
133403,0.4744569009502996,0.0208770771978735,8969,randomize,11.769450462133536,0.9716273247228324,7,bayes
133403,0.2145828686971095,0.0038571099250081,1336,randomize,11.769510430799906,0.808137748026656,261,bayes
133403,0.6709935658126155,0.0089252458067483,2170,randomize,11.769540415133092,0.989940256216127,28,bayes
