n_agents,ba_degree,er_prob,p_rewiring,uncertainty,n_experiments,rewiring_type,mean_degree,density,avg_clustering,avg_short_path_lenght,degree_variance,network_type,true_consensus,convergence_step,agent_type
18,8,0.17280184337826157,0.48616074854082847,0.00018393533981179682,36,randomize,15.666666666666666,0.46078431372549017,0.503963023603783,1.5588235294117647,264.55555555555554,ba,0.6111111111111112,82,bayes
166,4,0.014261481480420973,0.6237755799534644,0.00018165503941000843,87,randomize,15.493975903614459,0.046951442132165025,0.051555468017449736,2.6964585615188024,275.31325301204816,ba,0.8132530120481928,10000,bayes
99,7,0.04969813441731291,0.5365739646246691,0.0008784810230827024,78,randomize,25.414141414141415,0.12966398680684396,0.1548573615044177,2.0408163265306123,725.4343434343434,ba,1.0,2806,bayes
138,5,0.09079919884889784,0.06600871852524415,0.0008396948962599456,13,randomize,19.144927536231883,0.06987199830741564,0.14523164994205667,2.3471913678197396,550.8695652173913,ba,0.7608695652173914,10000,bayes
131,6,0.05347404235838932,0.5533101792651786,0.0006385707989003774,73,randomize,22.38167938931298,0.08608338226658838,0.10067963870975101,2.2619495008807986,563.0839694656488,ba,0.9847328244274809,8117,bayes
155,7,0.23918290316086066,0.5565687678704883,0.0006300681386241069,64,randomize,26.051612903225806,0.08458315877670716,0.09653188657585224,2.215123586091328,758.7096774193549,ba,0.9935483870967742,7005,bayes
108,9,0.22091329247416205,0.2975579110481553,0.0006062568147699341,77,randomize,31.74074074074074,0.14832121841467635,0.2009069878698879,1.942367601246106,1195.6666666666667,ba,1.0,4325,bayes
68,9,0.0830313671394689,0.4594273003456577,0.0009043403392167653,35,randomize,29.705882352941178,0.22168568920105355,0.2403232626971092,1.8154082528533801,949.0882352941177,ba,1.0,3056,bayes
22,2,0.1336226296506542,0.08623241401992021,0.0004189802626762967,85,randomize,7.181818181818182,0.170995670995671,0.3278826670602617,2.3073593073593073,76.27272727272727,ba,0.7272727272727273,10000,bayes
126,8,0.07491704001176047,0.10238899929031486,0.00022389568674611136,84,randomize,29.650793650793652,0.1186031746031746,0.18980710164758424,2.0410793650793653,1152.920634920635,ba,0.8650793650793651,10000,bayes
164,2,0.150216737483851,0.19635469458525545,0.0008617911815838057,37,randomize,7.902439024390244,0.024240610504264553,0.05518099250124711,0.0,105.29268292682927,ba,0.926829268292683,10000,bayes
64,2,0.20158609473334643,0.7974201599223338,0.0009887158596176184,28,randomize,7.65625,0.06076388888888889,0.06382038705348164,0.0,65.625,ba,0.96875,10000,bayes
59,7,0.1114726100862419,0.32249412987848114,0.0007531893644234309,76,randomize,23.593220338983052,0.2033898305084746,0.2537669728734185,1.869666861484512,639.4915254237288,ba,1.0,2762,bayes
70,7,0.15348443401676523,0.32024740838546994,0.0003813092059376725,33,randomize,24.34285714285714,0.1763975155279503,0.22215445228696926,1.9314699792960663,681.0,ba,0.8142857142857143,10000,bayes
52,7,0.07091364179816623,0.8694908442241356,0.00012181152061074192,38,randomize,23.576923076923077,0.23114630467571645,0.2319378455415497,1.8212669683257918,577.7692307692307,ba,0.40384615384615385,815,bayes
89,10,0.12726195086513797,0.5493609117045646,0.00014445632541268527,22,randomize,33.95505617977528,0.192926455566905,0.21026343751011028,1.843335035750766,1224.1348314606741,ba,0.5056179775280899,10000,bayes
125,9,0.21867952947512864,0.2816856477370615,0.0006054986084066643,12,randomize,32.528,0.13116129032258064,0.16250158158654537,1.9849677419354839,1233.76,ba,0.864,10000,bayes
68,3,0.06992716534700247,0.7494574085332983,0.0006344247058258981,70,randomize,11.205882352941176,0.08362598770851624,0.09711641172889486,2.579675153643547,145.3235294117647,ba,0.9411764705882353,9069,bayes
28,9,0.07766594362135729,0.2947432279988593,0.0008969900303822586,89,randomize,22.0,0.4074074074074074,0.43453794194667567,1.6031746031746033,516.1428571428571,ba,1.0,763,bayes
169,8,0.17538914526670726,0.7063595914387337,0.000591973460183991,41,randomize,30.011834319526628,0.08932093547478163,0.0955543862095981,2.1522964215271907,966.7218934911242,ba,1.0,8650,bayes
70,10,0.040609965766016,0.7875078627596722,0.0007193364546965748,41,randomize,33.02857142857143,0.23933747412008283,0.24943852379245937,1.7734989648033126,1128.0857142857142,ba,1.0,4338,bayes
149,7,0.09128843245489374,0.5447810677171171,0.0006759417606534093,20,randomize,26.174496644295303,0.08842735352802467,0.0992373220294752,2.2014783239615454,764.8456375838927,ba,0.9328859060402684,10000,bayes
175,10,0.08983960302108279,0.7083403314134528,0.00044378333508278937,21,randomize,36.76571428571429,0.10564860426929393,0.11055095550878685,2.0311986863711002,1412.6742857142858,ba,0.9542857142857143,10000,bayes
193,6,0.15675622673680534,0.2561962138243816,0.00021069890506703818,90,randomize,23.036269430051814,0.05999028497409326,0.0980614683216171,2.391839378238342,694.1036269430052,ba,0.7202072538860104,10000,bayes
161,8,0.173420014620648,0.5749104205340206,0.0007895659363984113,92,randomize,29.614906832298136,0.09254658385093167,0.1018141814418543,2.1457686335403725,956.0,ba,1.0,3951,bayes
119,3,0.10585157401822562,0.207566836790807,0.0008480394421910268,83,randomize,11.596638655462185,0.04913829938755163,0.10915572623349212,2.771400085457912,204.92436974789916,ba,0.9831932773109243,8424,bayes
88,3,0.17237151494785727,0.08634460641758768,0.0008806357202429786,65,randomize,11.568181818181818,0.06648380355276907,0.15689070273847844,2.4971264367816093,233.4090909090909,ba,1.0,6547,bayes
96,7,0.23083062960050735,0.5250299754566847,0.00045718717189842097,12,randomize,25.020833333333332,0.13168859649122808,0.15253382845647473,2.048026315789474,694.5833333333334,ba,0.625,10000,bayes
