n_agents,ba_degree,er_prob,p_rewiring,uncertainty,n_experiments,rewiring_type,mean_degree,density,avg_clustering,avg_short_path_lenght,degree_variance,network_type,true_consensus,convergence_step,agent_type
160,7,0.1406065928957695,0.7173384694859133,0.0009601287129475835,87,randomize,26.2125,0.08242924528301887,0.08496127341735468,2.229795597484277,728.625,ba,1.0,3075,bayes
132,10,0.14524599938546218,0.8838480718375911,0.0009154249725302784,45,randomize,36.45454545454545,0.13913948646773075,0.13765158563002425,1.9301411057136248,1359.2424242424242,ba,0.9924242424242424,2843,bayes
14,8,0.18301592726464164,0.39384923811784855,0.0009953894331491714,42,randomize,11.571428571428571,0.44505494505494503,0.5795183429957461,1.5879120879120878,153.0,ba,1.0,2588,bayes
66,7,0.11038457161008569,0.9956992056652311,0.0005529935708110607,12,randomize,25.03030303030303,0.19254079254079254,0.18921561820179436,1.8727272727272728,644.5454545454545,ba,0.9545454545454546,10000,bayes
50,5,0.09605661991948128,0.115263118326693,0.000986935720701052,19,randomize,17.56,0.17918367346938777,0.23983262913839862,1.977142857142857,380.72,ba,0.96,8290,bayes
91,3,0.24346615303787,0.588274680917784,0.0007872004316009005,37,randomize,11.406593406593407,0.06336996336996337,0.07284574360978889,2.7286935286935288,146.7032967032967,ba,0.9340659340659341,10000,bayes
22,4,0.20403832243337794,0.43626872148399287,0.0002561567187712652,67,randomize,12.181818181818182,0.29004329004329005,0.30783364076154696,1.8506493506493507,159.9090909090909,ba,0.3181818181818182,143,bayes
110,2,0.19480898745772648,0.3024466168403357,0.00040842075592199335,53,randomize,7.8,0.03577981651376147,0.04664451565052234,0.0,79.92727272727272,ba,0.6818181818181818,10000,bayes
93,2,0.14191848642969318,0.25314434675421327,0.0007026350480686341,53,randomize,7.741935483870968,0.04207573632538569,0.10742210937473742,3.16713417484806,96.38709677419355,ba,0.9032258064516129,10000,bayes
26,3,0.11124131047307603,0.40838009351149607,0.00038067022238029154,48,randomize,9.923076923076923,0.19846153846153847,0.251123236808623,2.147692307692308,111.3076923076923,ba,0.5384615384615384,10000,bayes
98,4,0.24275207188492973,0.5799067473582619,0.0005899175485219934,54,randomize,14.795918367346939,0.07626762045024195,0.0788405475344772,2.48642962339575,245.9387755102041,ba,0.9693877551020408,10000,bayes
90,3,0.0038831761096660145,0.25503204241248123,0.0001845835420340453,60,randomize,11.488888888888889,0.06454431960049938,0.09446031407076136,2.5862671660424468,190.2888888888889,ba,0.7222222222222222,10000,bayes
41,5,0.029329941192127285,0.3359659105299201,0.0003836548390583986,91,randomize,16.536585365853657,0.20670731707317072,0.2366968132770169,1.9384146341463415,302.6829268292683,ba,1.0,9703,bayes
19,5,0.11682168530100284,0.2776133901165969,0.00025486184325640134,21,randomize,13.473684210526315,0.3742690058479532,0.4684135725862016,1.6578947368421053,203.05263157894737,ba,0.47368421052631576,20,bayes
161,9,0.0866139292432202,0.6219224479565642,0.00016111228751271073,30,randomize,33.27950310559006,0.10399844720496894,0.11501484474484125,2.0515527950310557,1192.8198757763976,ba,0.6086956521739131,10000,bayes
40,2,0.15625039697376333,0.6361219327129555,0.0003841224969071753,90,randomize,7.4,0.09487179487179487,0.1383914112520777,2.723717948717949,69.9,ba,0.7,10000,bayes
17,9,0.04285159996714025,0.7102346899982488,0.00011553151837774756,88,randomize,14.823529411764707,0.4632352941176471,0.4498339283242772,1.5441176470588236,225.64705882352942,ba,0.23529411764705882,3,bayes
100,9,0.22096665673097168,0.13967686689077286,0.0006024243833912598,38,randomize,32.06,0.1619191919191919,0.2446637272591249,1.9064646464646464,1280.6,ba,0.98,9660,bayes
44,6,0.12817262999545115,0.6259461514119469,0.0001225260886139309,54,randomize,19.681818181818183,0.22885835095137422,0.23381841867492817,1.8356236786469344,406.59090909090907,ba,0.6136363636363636,10000,bayes
126,9,0.17567840927208592,0.8453494075976417,0.0005914288070070784,73,randomize,32.84126984126984,0.13136507936507935,0.13676812194287197,1.9756825396825397,1115.8095238095239,ba,1.0,5015,bayes
99,8,0.18908067039150284,0.8935620635485096,0.0003752527441391041,17,randomize,28.92929292929293,0.14759843331271902,0.14846763495276002,1.956091527520099,860.5858585858585,ba,0.8888888888888888,10000,bayes
190,5,0.07388265950660375,0.1234584178802911,0.0007385412828037874,86,randomize,19.357894736842105,0.05121136173767753,0.10824656788207045,2.4761904761904763,570.4105263157895,ba,0.9894736842105263,5262,bayes
147,10,0.046768222920608726,0.06163210583012768,0.0008973314771440361,50,randomize,36.965986394557824,0.12659584381697886,0.20527015731349357,1.9748392507688006,1781.2244897959183,ba,1.0,3405,bayes
194,7,0.2497682513377028,0.09220805544751187,0.0009246936717070662,50,randomize,26.77319587628866,0.06936061107846803,0.11809839433107513,2.286042412264302,990.2783505154639,ba,0.9948453608247423,5724,bayes
197,7,0.24452291633025985,0.6537656430457406,0.0002179663831615875,74,randomize,26.548223350253807,0.067725059566974,0.07701354199359413,2.312493525328913,767.4111675126903,ba,0.751269035532995,10000,bayes
116,7,0.07729101153687515,0.5616708503977017,0.00014827592957855854,30,randomize,25.603448275862068,0.11131934032983508,0.12183031938136428,2.1110944527736133,713.0,ba,0.5086206896551724,10000,bayes
37,4,0.11773795526732048,0.5309039090300631,0.0004592851307921807,15,randomize,13.675675675675675,0.18993993993993993,0.21110183399026225,2.0345345345345347,207.78378378378378,ba,0.6756756756756757,10000,bayes
163,4,0.1500337867573107,0.17912179624503388,0.0001344534309503415,59,randomize,15.54601226993865,0.0479815193516625,0.08556920577842349,2.62251003559797,345.2760736196319,ba,0.5398773006134969,10000,bayes
49,4,0.20626573061350234,0.8812362020727255,0.0002081117661998465,99,randomize,14.408163265306122,0.15008503401360543,0.1486567063050424,2.1543367346938775,221.71428571428572,ba,0.8367346938775511,10000,bayes
22,9,0.05186776071953669,0.29834763415503673,0.00012986602116450176,72,randomize,19.272727272727273,0.4588744588744589,0.5276794486920419,1.5476190476190477,408.09090909090907,ba,0.5454545454545454,258,bayes
99,9,0.08749757397233573,0.5175368754899133,0.00021363288747666567,80,randomize,31.21212121212121,0.15924551638837353,0.1803183518441601,1.9166151309008452,1055.79797979798,ba,0.8282828282828283,10000,bayes
177,10,0.2365529495710364,0.7780840595894468,0.0006686807116960043,13,randomize,37.07344632768361,0.10532229070364664,0.10985791942506318,2.0254879301489472,1436.0564971751412,ba,0.7740112994350282,10000,bayes
102,2,0.05769147795800725,0.4896534660866074,0.0009587516679220818,72,randomize,7.7254901960784315,0.038245000970685304,0.044804672329334584,0.0,75.92156862745098,ba,0.9901960784313726,9264,bayes
139,2,0.20349503180277184,0.3514297777606864,0.0007535348195520992,13,randomize,7.856115107913669,0.02846418517360025,0.03955232249482889,0.0,88.28776978417267,ba,0.6618705035971223,10000,bayes
131,5,0.14541750732893258,0.9197438925798156,0.0007679712144285144,93,randomize,19.16030534351145,0.07369348209042866,0.07484585637150136,2.400822078684674,384.12213740458014,ba,1.0,3472,bayes
14,3,0.045023650609128885,0.22973354162369575,0.000899860828857798,95,randomize,9.285714285714286,0.35714285714285715,0.28610009001392217,1.7142857142857142,93.14285714285714,ba,0.9285714285714286,1787,bayes
144,6,0.18450786026426585,0.1416891334781153,0.0004683071868503278,27,randomize,22.84722222222222,0.07988539238539238,0.13840846271309884,2.264228826728827,700.3333333333334,ba,0.9236111111111112,10000,bayes
184,3,0.24414660811161337,0.31718573227476554,0.0005505630550947201,41,randomize,11.73913043478261,0.03207412687099073,0.06821493579434372,0.0,207.79347826086956,ba,0.9239130434782609,10000,bayes
77,8,0.10162595533120758,0.15880480188791424,0.00037624115247077286,85,randomize,27.74025974025974,0.1825017088174983,0.2396714999775561,1.8928571428571428,925.3506493506494,ba,0.987012987012987,10000,bayes
59,10,0.1051052041635252,0.09540867740968217,0.00027946170265895397,88,randomize,32.23728813559322,0.27790765634132086,0.3566033494940135,1.7364114552893044,1211.7966101694915,ba,0.8813559322033898,10000,bayes
107,3,0.23487117370869415,0.6270919652396804,0.00043185683458881873,46,randomize,11.495327102803738,0.05422324105096103,0.06045156398028234,0.0,155.81308411214954,ba,0.8691588785046729,10000,bayes
46,3,0.2479993571311485,0.7119661204463146,0.00035341238417851566,22,randomize,10.91304347826087,0.121256038647343,0.12650659464308767,2.3903381642512076,130.8695652173913,ba,0.5434782608695652,10000,bayes
148,10,0.2305638495373766,0.3554586554380387,0.0006961844126652042,52,randomize,36.013513513513516,0.12249494392351536,0.15806812652571003,1.9807409450266593,1513.1081081081081,ba,1.0,4646,bayes
112,9,0.03656553279123487,0.7772018601281284,0.0006555837140604538,42,randomize,32.214285714285715,0.1451093951093951,0.14943412259875782,1.9367760617760619,1073.3035714285713,ba,1.0,4251,bayes
