n_agents,ba_degree,er_prob,p_rewiring,uncertainty,n_experiments,rewiring_type,mean_degree,density,avg_clustering,avg_short_path_lenght,degree_variance,network_type,true_consensus,convergence_step,agent_type
20,7,0.010393912499565339,0.3160793933872438,0.0008417109801654398,29,randomize,16.4,0.43157894736842106,0.48628369213490996,1.5947368421052632,288.8,ba,0.0,4,beta
200,9,0.20296331324443778,0.15334035189249418,0.0003488409642637967,100,randomize,33.99,0.08540201005025126,0.14189189094517496,2.1229899497487437,1544.34,ba,0.63,28,beta
161,6,0.17860607902325634,0.024771747217159468,0.00043258445903764033,39,randomize,23.043478260869566,0.07201086956521739,0.14116657808546024,2.2830745341614906,768.3478260869565,ba,0.5527950310559007,53,beta
124,6,0.21751824659484517,0.9604041452520767,0.0003121182976322523,95,randomize,22.774193548387096,0.09257802255441909,0.09414594592867197,2.230854969840021,540.4032258064516,ba,0.532258064516129,34,beta
113,6,0.15740796593822184,0.20049593044571146,0.00031190691156656066,11,randomize,22.38938053097345,0.09995259165613148,0.15182370586194285,2.1675094816687737,644.637168141593,ba,0.20353982300884957,90,beta
189,10,0.1567862259811127,0.7295156848091972,0.00045623434289090845,63,randomize,37.12169312169312,0.09872790723854553,0.10425496897974923,2.0480974895868513,1439.8624338624338,ba,0.6349206349206349,36,beta
23,7,0.15791912989929108,0.6143536274586456,0.00038254949496593953,42,randomize,17.130434782608695,0.3893280632411067,0.3906718737664418,1.640316205533597,304.5217391304348,ba,0.0,2,beta
196,7,0.17524557193932783,0.7516626824355446,0.0007498119646685858,49,randomize,26.591836734693878,0.06818419675562533,0.07044023211430157,2.3105180533751963,747.7448979591836,ba,0.6479591836734694,56,beta
185,6,0.05540524595482921,0.904904033517478,0.0004527658725333287,71,randomize,23.09189189189189,0.06274970622796709,0.06391563140108718,2.390011750881316,558.0540540540541,ba,0.5567567567567567,56,beta
187,9,0.08558316624676796,0.2058330787540683,0.0007997459367557778,43,randomize,33.70053475935829,0.09059283537461905,0.1405444939253011,2.109769420964867,1436.042780748663,ba,0.8288770053475936,43,beta
94,6,0.15218905636720725,0.9094237897654269,0.00023517539617738458,80,randomize,22.21276595744681,0.11942347288949898,0.1197196253000951,2.122168840082361,508.93617021276594,ba,0.648936170212766,39,beta
166,7,0.23490056791009267,0.2735742265447043,0.00038828301825816897,38,randomize,26.42168674698795,0.080065717415115,0.11964765204915306,2.2326031398320554,886.855421686747,ba,0.5120481927710844,68,beta
43,4,0.22691995205911383,0.5018459158556464,0.0006230983232627068,53,randomize,14.279069767441861,0.1699889258028793,0.18683524873671972,2.068106312292359,226.74418604651163,ba,0.4418604651162791,34,beta
111,5,0.06622708916270664,0.5077339080195642,0.00010603820707881829,24,randomize,18.666666666666668,0.08484848484848485,0.10116448195671669,2.3363636363636364,400.8288288288288,ba,0.2702702702702703,101,beta
176,6,0.2320600815592172,0.017500536528191057,0.00030191954538637603,91,randomize,23.15909090909091,0.06616883116883117,0.13739518376046891,2.332435064935065,793.6931818181819,ba,0.4715909090909091,45,beta
147,8,0.1446984294788149,0.15126386726514873,0.00023940608423283393,31,randomize,29.904761904761905,0.10241356816699282,0.15252739774014407,2.098173515981735,1125.5374149659865,ba,0.2925170068027211,70,beta
100,4,0.22168049823873567,0.54800842234727,0.0006652795432557572,49,randomize,15.1,0.07626262626262627,0.09347461414623602,2.4906060606060607,254.04,ba,0.66,61,beta
